case_type,location,urgency_level,budget,preferred_language,case_complexity_score,specialization,city,experience,success_rate,rating,consultation_fee,availability,match
Divorce,Chennai,5,20949,Marathi,0.592703813799292,Tax,Chennai,6.726605744127549,0.8883924773474222,3.3487571166677665,14612,1,0
Criminal,Chennai,3,11853,Kannada,0.7622607757501274,Family,Hyderabad,11.149355332115814,0.7497043885483035,4.777392801927505,8120,0,0
Contract,Hyderabad,4,35616,English,0.6179814279959861,Tax,Bengaluru,11.309384493092644,0.4382636372094803,3.430836280875352,16203,1,0
Corporate,Hyderabad,2,34789,Marathi,0.29164403384547966,Civil,Chennai,4.900812751815204,0.3802495592865706,4.530025414156119,2603,0,0
Corporate,Bengaluru,5,3409,Kannada,0.19333256923904443,Family,Bengaluru,12.912667404282496,0.6595832717105039,4.091647524756899,18620,1,1
Tax,Chennai,1,21414,Kannada,0.5722591603871688,Tax,Chennai,14.361876196798494,0.853955602330798,4.470060810479018,17055,1,1
Divorce,Chennai,2,25645,Hindi,0.3982252670230446,Family,Pune,3.3687639061510968,0.6658741171017218,4.617203877601926,17918,1,1
Contract,Mumbai,5,23533,Tamil,0.39552837663212126,Criminal,Pune,8.671001100778406,0.746561321038934,3.3138170041973996,9668,1,0
Property,Chennai,3,32124,Telugu,0.28606872987394516,Criminal,Pune,13.321374112425712,0.40155541463246547,3.2282079549195446,20190,0,0
Divorce,Hyderabad,1,30461,Kannada,0.6661567448220582,Civil,Chennai,14.512628288352023,0.9055164102442284,4.261220506905937,14972,1,0
Corporate,Mumbai,3,22121,Telugu,0.7088481129368129,Tax,Mumbai,9.059162125238121,0.6195286659010384,2.9684656438716,20230,1,0
Tax,Chennai,2,38216,Telugu,0.523923988419839,Tax,Mumbai,13.559328368636258,0.851600733468008,4.442240243034113,15370,1,1
Criminal,Bengaluru,3,27494,Bengali,0.3826363966008605,Family,Delhi,14.521848877778272,0.8605197050120701,4.271023940111265,17111,1,0
Criminal,Bengaluru,2,17188,Tamil,0.4827816455676098,Corporate,Mumbai,10.860654000620016,0.7765686239539226,3.1333176432370564,12414,1,0
Criminal,Kolkata,2,15581,Kannada,0.8094996035678143,Criminal,Pune,6.625345466632557,0.7476165376013894,4.49234802171205,6601,1,1
Criminal,Pune,5,29946,Bengali,0.27801261141076156,Family,Delhi,9.859690232178242,0.5209472273733035,4.499168434448737,11976,1,0
Corporate,Delhi,1,13656,Bengali,0.40260108216449364,Tax,Kolkata,4.644948409322352,0.8058933118851287,3.4364037502410274,16426,1,0
Divorce,Pune,4,16722,Tamil,0.15547849963723043,Criminal,Delhi,4.915940098171417,0.8744355776806852,4.501677977870051,13082,0,0
Criminal,Hyderabad,1,18083,Hindi,0.1591431508795424,Corporate,Pune,0.308668696081817,0.6602993879444499,3.9479992198728397,9573,0,0
Corporate,Kolkata,3,22845,English,0.33219896156471473,Tax,Bengaluru,12.391402107745938,0.8804254073487608,3.0836227255102333,13281,1,0
Corporate,Delhi,4,18452,Bengali,0.5013479849397277,Criminal,Kolkata,13.295741093726377,0.8401743543187941,4.822128450697058,11403,1,0
Fraud,Pune,5,9464,Tamil,0.3075431304928254,Family,Delhi,0.0,0.8201055406956379,4.1502207955658585,15029,1,0
Property,Kolkata,2,29296,Tamil,0.6030296368471594,Criminal,Hyderabad,5.62883812099323,0.914832731626201,5.0,23139,1,0
Tax,Bengaluru,1,16764,Bengali,0.318333870137808,Tax,Mumbai,4.962317781297031,0.8830735517993737,3.592063135259774,25095,0,0
Criminal,Kolkata,4,36159,Telugu,0.16123212206134294,Corporate,Hyderabad,10.569322078134094,0.862854089251396,4.011825077930114,12306,1,0
Contract,Hyderabad,5,22431,English,0.32289233692762814,Corporate,Hyderabad,7.949447880516209,0.849863306210148,4.290664196216837,15092,1,1
Fraud,Mumbai,3,30137,Kannada,0.25166960249180365,Family,Pune,11.235032578338537,0.5359223601915736,4.741210071800227,1425,0,0
Criminal,Bengaluru,1,25046,Bengali,0.5022626314351364,Corporate,Bengaluru,8.128458266574478,0.8023893706125991,3.747543219078538,14404,1,0
Corporate,Chennai,3,30520,Hindi,0.33556498163939313,Family,Delhi,9.33752494775521,0.7148202908593242,4.463245970956802,9444,1,0
Corporate,Hyderabad,2,24562,Bengali,0.5025529283424577,Family,Hyderabad,8.22273177709264,0.8852856771638217,3.611512047545768,15336,1,0
Corporate,Pune,3,21881,Tamil,0.5795325331821414,Family,Kolkata,13.855036746250462,0.8138312185406608,4.900966146294921,3969,1,0
Property,Hyderabad,1,28745,Tamil,0.6159871949930595,Civil,Delhi,3.0741569727647633,0.6243008241702206,2.6461894135560886,11407,1,0
Divorce,Kolkata,2,39887,Bengali,0.711172637286101,Criminal,Chennai,4.234488148500602,0.7164464979866165,4.8526209153324595,4727,1,0
Corporate,Mumbai,5,17841,Telugu,0.4951999585135966,Civil,Mumbai,3.6482166569401784,0.8044023943005463,3.6223103925810536,11834,1,0
Tax,Chennai,1,26359,Marathi,0.7934931273678286,Criminal,Bengaluru,10.207530245281236,0.772857793298326,3.201890597414038,26989,1,0
Divorce,Pune,5,19958,English,0.5560933188834715,Tax,Hyderabad,0.0,0.8258821748884951,5.0,7669,0,0
Tax,Chennai,3,24048,Kannada,0.37378252811613055,Tax,Delhi,0.0,0.6531885941718407,3.8010331119971426,7153,1,1
Criminal,Pune,3,20337,English,0.2792687526409675,Criminal,Kolkata,11.420245113746777,0.5424514920056266,4.0390314922135,12932,1,1
Property,Bengaluru,5,3000,English,0.839731617278782,Corporate,Hyderabad,1.090818518837187,0.63625768225377,4.5999934373733415,8119,1,0
Contract,Kolkata,2,18398,Telugu,0.5557790330156597,Tax,Hyderabad,3.506201734367335,0.574052015715449,4.399461923734647,20379,1,0
Property,Chennai,5,27996,Telugu,0.5138914753782101,Civil,Bengaluru,1.178410286245981,0.8673677581816639,4.494061433254717,8017,1,0
Criminal,Kolkata,2,13878,Marathi,0.42045615651074375,Criminal,Mumbai,4.40505602472776,0.73883263956649,4.258857405481344,4791,1,0
Contract,Chennai,2,27367,Bengali,0.5103857389533186,Tax,Delhi,22.639892942425767,0.5250648484058371,3.6507921546496522,16691,1,0
Fraud,Kolkata,3,21468,Bengali,0.5343627719849084,Tax,Mumbai,6.312322817146645,0.4764177474257378,4.36697418536173,21027,1,0
Divorce,Pune,4,18468,Kannada,0.4042940880568759,Civil,Hyderabad,7.8825098990496505,0.7696016852522566,5.0,14525,0,0
Tax,Hyderabad,2,27246,Hindi,0.5886260385685371,Family,Pune,2.9138812708572086,0.5629281218280268,4.530437511282484,9391,1,0
Corporate,Bengaluru,4,25448,Kannada,0.4570762633219887,Tax,Bengaluru,7.4085054027025175,0.4897905935371003,3.917886238453986,16116,1,0
Tax,Kolkata,1,23364,Tamil,0.660576431165523,Tax,Kolkata,12.868782189908753,0.49135646765986535,3.8902022412494026,16940,0,1
Contract,Hyderabad,4,28127,Tamil,0.5013937472239364,Criminal,Kolkata,8.512030819531935,0.7551498244394822,4.098433611465475,20755,1,0
Criminal,Pune,4,21624,Tamil,0.5864722566611789,Tax,Chennai,18.022932257146955,0.862283303510382,3.4722301030844402,16816,1,0
Criminal,Hyderabad,3,6842,Bengali,0.3679052711719756,Corporate,Hyderabad,4.140331467390908,0.7594196811067893,4.8062713942555195,1676,1,0
Property,Kolkata,4,16975,Telugu,0.42376805944387597,Corporate,Bengaluru,0.0,0.6653912124765412,3.700801231526174,13111,1,0
Fraud,Pune,4,5564,Bengali,0.28608225733710896,Civil,Pune,10.011455495735193,0.5515809897755252,4.377302235015466,10404,1,0
Corporate,Mumbai,5,25258,Tamil,0.04269495733825859,Criminal,Pune,10.095275659324475,0.5733303526263138,5.0,12015,1,0
Corporate,Pune,2,27169,Kannada,0.6667046056611499,Tax,Pune,8.33574664262072,0.7847360712467938,3.69476102656842,1000,0,0
Divorce,Hyderabad,3,27533,Bengali,0.3267266664063975,Criminal,Delhi,1.166958662720897,0.5878237683083012,3.826022617495169,10458,1,0
Corporate,Chennai,3,23912,Marathi,0.4115153748294519,Family,Hyderabad,5.258774046680722,0.7494018895602538,4.323033242791965,5917,1,0
Property,Kolkata,2,27743,Tamil,0.6156250583429592,Family,Chennai,8.991682571271266,0.5195369394126265,4.697103308253714,17304,1,0
Criminal,Mumbai,5,7387,Hindi,0.38382485500806424,Tax,Pune,9.245468397759037,0.7973766848012829,3.52797626209363,13252,1,0
Contract,Mumbai,3,19139,English,0.178059997366351,Civil,Hyderabad,11.354821967372692,0.8352696640510927,4.437584074118085,15822,1,0
Tax,Delhi,3,8680,Telugu,0.2874526328171442,Criminal,Bengaluru,3.0430695281184175,0.7829577878019015,4.31736471702353,19091,1,0
Criminal,Delhi,1,17133,Kannada,0.20384052267552694,Tax,Mumbai,0.0,0.8512926762413163,3.3619608129393184,10658,1,0
Fraud,Hyderabad,3,32930,Marathi,0.14066233220747443,Corporate,Hyderabad,7.097236739597567,0.6429792800445457,3.7820508914063145,14802,1,0
Tax,Chennai,4,28745,English,0.6585503418837693,Civil,Chennai,11.116444322975676,0.9054599166271822,4.826226144591709,17797,1,0
Fraud,Mumbai,3,25298,Tamil,0.5081942163501703,Tax,Kolkata,1.39014571271428,0.6724901759273292,3.7526857229934794,25058,1,0
Fraud,Hyderabad,4,18547,Bengali,0.7015136305550163,Family,Delhi,15.93604785649262,0.8296587529976628,3.0464630942186677,25063,1,0
Tax,Mumbai,1,12051,Marathi,0.599521102217562,Corporate,Chennai,6.285482374337485,0.5868670553117085,3.864285758996917,17974,0,0
Fraud,Hyderabad,1,21496,Bengali,0.49669166041286816,Criminal,Hyderabad,13.670146246979225,0.8377804278631583,5.0,10170,0,1
Divorce,Kolkata,2,28885,Bengali,0.305292604816856,Family,Chennai,16.86193793491052,0.7176988792530669,2.762719428374557,28861,1,1
Corporate,Kolkata,2,23278,English,0.6829240661237196,Civil,Hyderabad,0.0,0.9667337379318118,4.113874000514047,21825,0,0
Criminal,Delhi,5,7314,Kannada,0.5190205475981283,Family,Kolkata,10.44599765812072,0.5273511694924656,4.35830034298626,21129,1,0
Property,Kolkata,5,20836,Tamil,0.16549069456553347,Tax,Pune,17.054936595414702,0.5114039859918161,4.077667418408247,22729,0,0
Corporate,Chennai,3,4693,Tamil,0.20153679372197397,Corporate,Delhi,5.741453785034617,0.8817598356150231,3.0983676049003988,12249,0,0
Divorce,Kolkata,3,26433,Marathi,0.20755264458443332,Corporate,Pune,17.76071682119874,0.7551716050207539,3.834390780156363,7207,1,0
Contract,Mumbai,2,14455,Bengali,0.3659402383847238,Tax,Chennai,12.972473127542138,0.4991208992472438,3.6405358275167496,14491,1,0
Corporate,Mumbai,3,10215,Tamil,0.7977493014054489,Tax,Pune,6.350116058032011,0.6336390388397235,5.0,17614,1,0
Fraud,Pune,4,26543,Kannada,0.489431501558659,Family,Mumbai,7.817917225182109,0.7376409279700531,3.3503479516214107,14413,0,0
Property,Mumbai,4,24475,Tamil,0.34993176449223257,Criminal,Bengaluru,0.11770321265101114,0.9704851719900504,4.4287739422459245,10195,1,0
Corporate,Pune,5,21859,Kannada,0.21348167998018633,Family,Kolkata,4.594197401307937,0.7467950162935063,3.384451376127512,27693,1,0
Contract,Delhi,3,37533,Bengali,0.22396721723045543,Criminal,Mumbai,11.331319061458878,0.7132599829732407,4.477753916970136,20952,1,0
Tax,Delhi,2,25079,Marathi,0.39285204130113976,Tax,Chennai,6.628911215081966,0.7042962672431082,3.811596965292728,13002,1,1
Corporate,Chennai,1,14840,Hindi,0.6078152002519767,Corporate,Pune,9.731280927824793,0.4741020612887121,3.735456647068605,32302,1,0
Property,Pune,4,24153,Bengali,0.7432227861494185,Criminal,Pune,13.776200568423473,0.9093098737731916,4.866812079050178,4687,1,0
Criminal,Hyderabad,5,17711,Tamil,0.49135101517771973,Family,Chennai,13.587217841593857,0.9481376429817578,3.718243058381633,8727,0,0
Contract,Pune,3,30134,Kannada,0.4937142560641954,Family,Chennai,9.967551195653442,0.41602689437902984,3.0995321514501604,20722,1,0
Contract,Pune,5,22247,English,0.08078452633840781,Family,Hyderabad,5.222835699615982,0.606926337071927,3.590985606442261,19613,1,0
Divorce,Pune,2,23039,Tamil,0.19256927663683776,Criminal,Bengaluru,8.899186412873647,0.7231014035264032,4.037080450257633,6458,1,0
Fraud,Kolkata,1,8461,Telugu,0.47984551884940013,Criminal,Hyderabad,9.18474579377025,0.5505805108224718,4.553278330486158,17946,1,0
Criminal,Pune,4,20490,English,0.7113748793331034,Corporate,Mumbai,4.803475436505338,0.8225197517341734,2.9214496543680566,10796,1,0
Criminal,Chennai,1,19549,Marathi,0.8865873089589471,Criminal,Mumbai,9.883535004529842,0.8533125994116916,3.887707584944497,8014,1,0
Corporate,Chennai,1,11806,English,0.6102559616749718,Family,Chennai,3.960088687558983,0.8076906934924629,3.2869120343406864,21288,1,0
Criminal,Delhi,4,18227,Marathi,0.09389742840144441,Civil,Pune,7.9157039814564225,0.8011906747555347,2.906567286664039,10772,1,0
Criminal,Pune,3,23486,Marathi,0.12627671898877582,Family,Delhi,5.031758012502032,0.8794465111242137,5.0,17013,1,0
Fraud,Delhi,4,19965,Kannada,0.30397417212022054,Corporate,Bengaluru,5.6434009380507275,0.7367964539200776,4.028666782030788,5872,1,0
Tax,Bengaluru,4,8703,Marathi,0.7212187947462324,Civil,Delhi,12.589434228512616,0.9058904809567168,3.2472113211297486,1000,0,0
Fraud,Hyderabad,2,17814,English,0.3139174753166403,Civil,Bengaluru,12.55516731433189,0.5866121500323067,3.8033880877927517,1000,0,0
Property,Delhi,4,16255,English,0.4832650273682418,Criminal,Hyderabad,7.154665327938183,0.37647827560650704,3.583642305490156,19106,1,0
Contract,Mumbai,3,21548,Marathi,0.8307784940235184,Criminal,Kolkata,14.316064655274422,0.7138858542454447,3.5283327100118527,9924,1,0
Contract,Chennai,3,20684,Hindi,0.6910455806386283,Corporate,Delhi,11.718438028833251,0.7245408795344848,4.431121320345759,11126,1,1
Divorce,Chennai,4,16707,Telugu,0.5383798064270144,Tax,Chennai,10.97650315180798,0.6878768336722181,5.0,11323,1,0
Criminal,Pune,2,16394,Kannada,0.41847521763406725,Tax,Chennai,7.645774841384346,0.8225146958128198,4.664545790623573,10188,1,0
